smi,adduct,ccs
NC(CCO)C(=O)O,[M-H]-,120.73333333333335
CC(/N=C(\O)C(NC(=O)O)C(C)C)c1nc2ccc(F)cc2s1,[M+H]+,173.4
CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O,[M+Na-2H]-,240.1
CC=CCC=CCC=CCC=CCC=CCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)OC(=O)CC=CCC=CCC=CCC=CCCCC,[M+NH4]+,294.5
O=c1nc(O)ccn1C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,[M+Na]+,184.9
CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,[M+H]+,231.30000000000004
CCN(CC)CCCC(C)N=c1c2ccc(Cl)cc2[nH]c2ccc(OC)cc12,[M+H]+,195.69191039999998
CCC=CCC=CCC=CCC=CCCCCCCC(=O)O,[M-H]-,187.08333333333331
CC1(C)SC2C(N=C(O)C(N=C(O)N3CCN=C3O)c3ccccc3)C(=O)N2C1C(=O)O,[M+H]+,205.80000000000004
CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,[M+H]+,194.80000000000004
C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O,[M-H]-,239.80000000000004
O=C(CO)C(O)C(O)C(O)COP(=O)(O)O,[M-H]-,141.4
CC(O)=NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(=N)nc3O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO,[M-H]-,215.5
O=C1CC(c2ccccc2)Oc2ccc(O)cc21,[M-H]-,156.5
O=CC(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)C(O)CO,[M+Na]+,183.6
C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@@H]21,[M-H]-,179.69999999999996
